id,url,suburb,state,postcode,short_address,full_address,property_type,price,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,listing_company_phone,auction_date,sold_date,description,listers
137426182,https://www.realestate.com.au/property-townhouse-vic-mentone-137426182,Mentone,Vic,3194,1/236 Balcombe Road,"1/236 Balcombe Road, Mentone, Vic 3194",townhouse,1350000.0,3.0,2.0,2.0,,,-1.0,,BUHMEN,Buxton - Mentone,0395839811,,,"OPEN FOR INSPECTIONS ARE NOW AVAILABLE AS ADVERTISED FOR FULLY VACCINATED BUYERS ONLY.<br/>WE CONFIRM PRIVATE INSPECTIONS ARE AVAILABLE FOR BUYERS WHO ARE NOT, PLEASE CONTACT THE AGENT.<br/><br/>Take your place at the forefront of design with the latest streetfront home from JDA Architects. A flagship home from one of Bayside’s most in-demand award-winning architectural practices, this three bedroom, 2.5 bathroom, dual zone home makes a bold statement on the streetfront with a design that is as distinctively functional as it is dramatically eye-catching. <br/><br/>Stretched out beyond a high-fenced yard and pergola-shaded terrace, this cutting-edge home cuts through to how we live today with an in-demand garden-access ground-floor master-suite shining bright, expansive window-wrapped living-dining  catching the light ....and a balconied first-floor lounge keeping the design tight with well-defined spaces for work and play. <br/><br/>Adeptly balancing prestige and practicality with a sizeable butler’s pantry for the elite Miele appliance kitchen and floor-to-ceiling tiling for the luxe bathroom and deluxe dual-vanity ensuite, this architecturally impressive home brings together the latest design elements including airy oak floors, slick stone benchtops, concrete-style and giant subway tiles, and matt-black framed full-height glazing.<br/><br/>Designed to capture sea-breezes and gentle sun at every turn with courtyards and balconies at every turn, this exceptional design features individual reverse-cycle acclimate-control for every room, and endless storage including bespoke built-in robes, big hallway cupboards and a walk-in store for the virtually private (and easily secured) basement double garaging. <br/><br/>Even the location combines form, and function with the bay’s most beautiful beaches within a walk, the palm-fringed heritage shopping village and station within 400m, and both Beaumaris and Mentone Girls Colleges in Zone.  For more information about this statement streetfront home contact Wesley Belt at Buxton Mentone on 0418 310 753","[{'id': '55014', 'name': 'Wesley Belt', 'agent_id': 'cfd715a8-12cf-48b5-8538-4612499ecc3f', 'job_title': 'Director', 'url': 'https://www.realestate.com.au/agent/wesley-belt-55014?cid={cid}', 'phone': '0418310753', 'email': None}, {'id': '2151694', 'name': 'Natalie Lerpiniere', 'agent_id': 'c1701428-50cd-4103-9f09-d29925650ab9', 'job_title': 'Sales Executive', 'url': 'https://www.realestate.com.au/agent/natalie-lerpiniere-2151694?cid={cid}', 'phone': '0402075412', 'email': None}]"
138284662,https://www.realestate.com.au/property-house-vic-cranbourne-138284662,Cranbourne,Vic,3977,46 Sparrow Street,"46 Sparrow Street, Cranbourne, Vic 3977",house,768000.0,4.0,3.0,2.0,,,447.0,m²,OMAIWQ,Area Specialist - Casey,0390884194,,,"Cranbourne, CANOPY ESTATE: This truly impressive modern family residence is the perfect entertainer and a dream come true as it offers such a unique and exclusive lifestyle. In arguably situated in the highly desired suburb of Southeast Melbourne, this masterpiece features the finest finishing and an expansive floorplan with in/outdoor living and entertaining area.<br/><br/>Here is a wonderful opportunity to secure a fantastic property in the heart of central Cranbourne. Offering 4 spacious bedrooms, master with full ensuite, his and her vanity and a huge walk-in robe, sitting on the huge block of 447sqm (approx.). This aesthetically planned abode offers families a centrally located home, with an abundance of indoor and outdoor space, safe and secure in the estate known for the beautiful parks, excellent sporting facilities and very friendly neighbourhood with easy access to amenities. This tastefully appointed home offers class, luxury and yet comfort for you and your family and ensure the quality family lifestyle for the many years to come.<br/>Main Features of the Property:<br/>-	Land Size: 447sqm(approx.)<br/>-	4 Spacious Bedrooms<br/>-	Master with Full Ensuite<br/>-	Walk in Robes<br/>-	His and Her Vanity<br/>-	2 Ensuites<br/>-	Built in Robes<br/>-	Open Plan Kitchen<br/>-	Walk in Pantry<br/>-	Top Quality Appliances<br/>-	Laundry<br/>-	Linen Cupboard<br/>-	Outdoor Kitchen<br/>-	Decking<br/>-	Garden Shed<br/>Heating: Yes<br/>Cooling: Yes<br/>Dishwasher: Yes<br/>LED Downlights: Yes<br/>-	Chattels: All Fittings and Fixtures as Inspected as Permanent Nature<br/>-	Deposit Terms: 10% of Purchase Price<br/>-	Preferred Settlement: 30/45/60 Days<br/>This lovely abode is in one of the most peaceful suburbs and close to all the amenities:<br/>-	Schools<br/>-	Kindergartens<br/>-	Parks<br/>-	Restaurants/Cafes<br/>-	Cranbourne Vikings Sports Centre<br/>-	Cranbourne Park Shopping Centre<br/>-	Springhill Shopping Centre<br/>-	Thompson Parkway Shopping Centre<br/>-	Cranbourne Homemaker Centre<br/>-	Medical Centres<br/>-	Bus Stop<br/>-	Merinda Park Train Station<br/>-	Cranbourne Train Station<br/>This property is sure to sell soon so do not miss your chance to make this dream home yours! Call Hardeep Singh today to book an inspection.<br/><br/>PHOTO ID REQUIRED AT OPEN HOMES<br/>Every care has been taking to verify the accuracy of the details in this advertisement, however we cannot guarantee its correctness. Prospective purchasers are required to take such action as is necessary to satisfy themselves of any pertinent matter.","[{'id': '1977418', 'name': 'Hardeep Singh', 'agent_id': 'd3b5be49-527b-4b5a-988f-f0048130049d', 'job_title': 'Director / Sales Consultant', 'url': 'https://www.realestate.com.au/agent/hardeep-singh-1977418?cid={cid}', 'phone': '0406676197', 'email': None}, {'id': '2617402', 'name': 'Mohan Singh', 'agent_id': 'b1e50c3d-edb1-41d2-9f23-17d5d4289a64', 'job_title': 'Area Specialist', 'url': 'https://www.realestate.com.au/agent/mohan-singh-2617402?cid={cid}', 'phone': '0426250579', 'email': None}]"
138193082,https://www.realestate.com.au/property-house-vic-mornington-138193082,Mornington,Vic,3931,23 Barkly Street,"23 Barkly Street, Mornington, Vic 3931",house,1980000.0,3.0,2.0,2.0,215,m²,255.0,m²,EUKHAX,Seachange Property - MORNINGTON,0359758622,,,"Proudly perched within Mornington’s ‘Golden Triangle’, cherish the opportunity to enjoy award-winning restaurants, boutiques, cafes, and an array of recreational parks all found on foot, whilst local schools, shopping facilities and public transport, ensure an elevated sense of convenience. <br/><br/>This three bedroom home complete with elevator is characterised by earthy tones, sculptural form and linear design elements. This prestigious home presents a low maintenance lifestyle right from the outset, before interior styling indicative of its proximity to the coastline, is revealed upon opening. <br/><br/>Welcomed through a bright, calming entrance the home intuitively guides you upstairs to unveil the captivating beauty of Port Phillip Bay; the backdrop to seamless first floor entertaining. Stunning timber floorboards sweep the length, instantly evoking a coastal ambiance, whilst the bold colour palette found within the cesar stone-topped kitchen adds a contemporary edge. Comprising 900mm underbench oven, window splashback and ample bench space, the entertainer’s kitchen acts as the central buffer between the privately-positioned master suite with WIR and double vanity ensuite and open plan lounge and dining zone. Opening through glass sliders, the elevated undercover alfresco invites long balmy evening entertaining, or rejuvenating morning breakfasts where the glistening water delivers an exciting atmosphere. <br/><br/>Take the lift between levels to discover the ground floor’s sanctuary-like accommodation zone. Presenting two generous bedrooms bridged by a designated laundry with side access, and stunning main bathroom with feature tub and floor-to-ceiling tiling. A family zone sits to the rear, seamlessly connecting with a private courtyard to amplify the secondary entertaining space. Peripheral gardens and Astroturf ensure functionality and flexibility within the rear, appealing to downsizers or those seeking an exceptional ‘lock and leave’ home. <br/><br/>Additional features: Gas ducted heating, reverse cycle air conditioning, High ceilings, internal glass balustrade, under stair storage, first floor powder room, integrated security system, water tank, exposed aggregate paths and driveway with remote control double garage. <br/><br/>Enjoy the fruits of this sensational position, easy walking to Fisherman's Beach, the beautiful atmosphere of Main Street, Mornignton Pier, parks and public transport.<br/><br/>The ultimate Seachange lifestyle awaits one lucky buyer, please do not hesitate to contact Geoff Oxford on 0414 282 817.<br/><br/>Our first open is Saturday 8th of January 2022.<br/> ","[{'id': '1425202', 'name': 'Geoff Oxford', 'agent_id': 'b363a3ea-d8dd-46a3-927c-2898f6d0bd1f', 'job_title': 'Director/Buying and Selling Agent', 'url': 'https://www.realestate.com.au/agent/geoff-oxford-1425202?cid={cid}', 'phone': '0414282817', 'email': None}, {'id': '2695974', 'name': 'Damian Flatz', 'agent_id': '6b8691f8-3175-4145-898a-120af14605c8', 'job_title': 'Sales Assistant', 'url': 'https://www.realestate.com.au/agent/damian-flatz-2695974?cid={cid}', 'phone': '0447130448', 'email': None}]"
137578730,https://www.realestate.com.au/property-apartment-vic-hawthorn-137578730,Hawthorn,Vic,3122,4/47 Riversdale Road,"4/47 Riversdale Road, Hawthorn, Vic 3122",apartment,984000.0,2.0,2.0,2.0,,,-1.0,,RLNMEQ,One Agency - Peninsula,0407789877,,,"Situated in a classically styled complex, appealing to both owner occupiers and investors. Downstairs boasts large open plan living and dining areas with split system air conditioning and double doors leading to the private and secure courtyard.<br/>The well-appointed kitchen has stainless steel appliances plus a large island bench.<br/>Also downstairs there is a large double bedroom with ensuite and BIR and a separate laundry.<br/>Upstairs features the main bedroom with walk in robe, full ensuite and private balcony.<br/>This is a seriously large home with recently updated improvements which include new carpet, timber floors and freshly re-painted. <br/>•	Sensational Hawthorn address<br/>•	2 large bedrooms with en-suites and new carpet<br/>•	Huge living rooms with new timber flooring<br/>•	Stainless appliances in kitchen & large island bench<br/>•	Security parking for 2 cars plus storage shed<br/>•	Public transport at your doorstep. <br/>Situated so close to some of the best schools and Universities in Melbourne plus parks and recreation reserves this is a sensational apartment and a not too be missed opportunity.   <br/>All inspections are based on strict Covid regulations.<br/><br/>    ","[{'id': '1918698', 'name': 'Andrew Melas', 'agent_id': '543d018b-b1e8-4465-804b-8717e816cd33', 'job_title': 'Licensed Estate Agent', 'url': 'https://www.realestate.com.au/agent/andrew-melas-1918698?cid={cid}', 'phone': '0409920917', 'email': None}]"
137735326,https://www.realestate.com.au/property-apartment-vic-glen+iris-137735326,Glen Iris,Vic,3146,1/14 Osborne Avenue,"1/14 Osborne Avenue, Glen Iris, Vic 3146",apartment,390000.0,1.0,1.0,1.0,,,-1.0,,XHSSAA,Belle Property - Sandringham ,0395219800,,,"Polished floorboards and a crisp white décor reflect the sunshine pouring into this perfectly located one bedroom apartment with bright spacious open plan living. The living room opens to a sun-kissed leafy and private courtyard ideal for entertaining, pets, gardening or relaxing.  This quiet apartment complex, in a beautiful garden setting in the ever popular Osborne Avenue is so handy to the tram, Harold Holt pool and shopping. There's one off-street car park space at the rear beside a laundry in a block of only 14 apartments.  Invest for the future or for yourself or someone else. Don't miss this opportunity!","[{'id': '1389081', 'name': 'Mandy Engelhardt', 'agent_id': None, 'job_title': 'Sales Consultant', 'url': 'https://www.realestate.com.au/agent/mandy-engelhardt-1389081?cid={cid}', 'phone': '0439483024', 'email': None}]"
137578682,https://www.realestate.com.au/property-house-vic-springvale-137578682,Springvale,Vic,3171,38 MONCUR AVENUE,"38 MONCUR AVENUE, Springvale, Vic 3171",house,1590000.0,7.0,4.0,5.0,,,830.0,m²,WRGRKS,Raine & Horne - Springvale,(03)95484011,,,"If you have a huge family or you are a savvy investor or a developer then do not miss out this excellent opportunity. This immaculately 25 squares family home sitting on a large block (830m2 approx.) in the heart of Springvale. Surrounded by quiet neighbours and just a stone throws away from all the amenities that you need. Springvale Central, Train Station and bus stops are within short strolls, walking distance to Primary and Secondary Schools, local shops, restaurants, parks and reserves and so much more. Easy access to Springvale and Westall Roads and just minutes' drive to Princess Hwy and IKEA Homemaker Centre.<br/><br/>Its feature including: <br/><br/>Front house:<br/><br/>•	4 spacious bedrooms: master with full en-suite & all 3 br with build in robes. <br/>•	Huge open formal living room area.<br/>•	A Quality oak timber kitchen with stainless steel appliances adjoining with the meal/entertainment area.<br/>•	A separate toilet and bathrooms.<br/>•	Central ducted heating & refrigerated air-conditioning throughout the house. <br/>•	Solar panels, ample car spaces at front. <br/>•	A huge extra work shop at the front of the house which can be used as an office or other business purpose with plenty of storage area and has its own bathroom & air conditioning connected.<br/><br/>Back House: <br/><br/>•	3 huge bedrooms with BIR.<br/>•	An open living area is joining with kitchen & dining area.<br/>•	Large Barth room & toilet.<br/>•	An extra 2nd toilet. <br/>•	A huge pergola along the back house.<br/><br/>Contact us today to inspect and discovery more for yourself.<br/>","[{'id': '1647634', 'name': 'Rosy Tran', 'agent_id': None, 'job_title': 'OIEC, Director', 'url': 'https://www.realestate.com.au/agent/rosy-tran-1647634?cid={cid}', 'phone': '0434495159', 'email': None}, {'id': '2860486', 'name': 'Grace Deverala', 'agent_id': None, 'job_title': None, 'url': 'https://www.realestate.com.au/agent/grace-deverala-2860486?cid={cid}', 'phone': '0404632896', 'email': None}]"
137426026,https://www.realestate.com.au/property-townhouse-vic-croydon-137426026,Croydon,Vic,3136,1-3/370 Maroondah Highway,"1-3/370 Maroondah Highway, Croydon, Vic 3136",townhouse,800000.0,4.0,2.0,2.0,,,-1.0,,XPJMIT,Philip Webb - Ringwood,0388702888,,,"It’s time to open your door to a life of modern comfort. The ultimate package for first home buyers or investors, these off-the-plan townhouses are perfectly situated close to all the best Croydon has to offer, and feature modern designs with quality finishes. This is a rare opportunity to buy in a fantastic location surrounded by shops, schools, and parks.<br/><br/>Meticulously designed, the open plan kitchen and living areas are spacious and bright. Featuring stone benchtops and stainless-steel appliances, the sleek kitchens will put you in control of your future culinary masterpieces. Timber floors flow through the property, with the bedrooms enjoying plush carpet underfoot and built-in & walk-in robe storage. These luxurious properties also feature modern bathrooms with frameless showers, allowing you to relax in comfort after a hard day’s work. Other impressive features include double lockup garages, gas ducted heating, and sheds at the rear of the property.<br/><br/>This excellent central location places you within a 10-minutes’ drive to Croydon Station, Croydon Central, Croydon North Shops, and Croydon Main Street. Great schooling options exist in Croydon Primary, Mooroolbark College, and Luther College, while Candelbark Walk Reserve, Ainslee Park and Silcock Reserve provide a relaxed lifestyle nestled by nature.<br/><br/><br/><br/>***PhilipWebb Real Estate Coronavirus Update***<br/><br/>The health of our valued clients and staff is our highest priority. Please note the following changes to our open for inspection processes:<br/><br/>• QR codes will be used to check in<br/>• Our agents and any other employees of the agency at the opens are fully vaccinated.<br/>• Density quotients will apply<br/>• Please maintain safe social distancing of 1.5m from anyone in attendance<br/>• Avoid touching surfaces including fittings and fixtures within the property<br/>• Hand sanitiser is provided<br/><br/>We kindly ask that you refrain from attending an inspection if you:<br/><br/>• Are experiencing flu-like symptoms<br/>• Have tested positive to, or have recently been in contact with someone diagnosed with Coronavirus<br/>• Have recently travelled overseas or have been in direct contact with someone who has<br/>    ","[{'id': '2370846', 'name': 'Tristan Messerle', 'agent_id': None, 'job_title': 'Sales Consultant & Auctioneer', 'url': 'https://www.realestate.com.au/agent/tristan-messerle-2370846?cid={cid}', 'phone': '0438176416', 'email': None}]"
138284594,https://www.realestate.com.au/property-house-vic-st+albans-138284594,St Albans,Vic,3021,38 Walmer Avenue,"38 Walmer Avenue, St Albans, Vic 3021",house,,3.0,2.0,4.0,,,-1.0,,PNJJIG,Professionals St Albans - ST ALBANS,0393646867,,,"Sitting on a  massive 700m2 in a prime location of St Albans. Not To Be Missed!<br/><br/>This family home offers 3 bedroom, 2  bath, family & living room with an updated kitchen with ample of space and adjoining meals and living area. <br/>Step outside and Immerse yourself in the most magnificent rear yard with covered alfresco area for all year round entertaining. <br/><br/>Whether your nesting or investing rest assured that you will make the right choice with this home that brings with it endless potential.<br/><br/>The home is situated walking distance to all the amenities and precincts that St Albans and Alfreida St has to offer. St Albans train station, St Albans secondary college, Vic University, St Albans East Pre-school and Western Ring Rd are only minutes away from you. <br/><br/>For more details and to book an inspections please contact Minh Tran on 0434 223 998 or Mitch (Hung) Nguyen on 0478 776 666 at Professionals St. Albans.<br/><br/><br/>   ","[{'id': '2890334', 'name': 'Minh Tran', 'agent_id': None, 'job_title': 'Licensed Estate Agent/Auctioneer', 'url': 'https://www.realestate.com.au/agent/minh-tran-2890334?cid={cid}', 'phone': '0434223998', 'email': None}, {'id': '2712894', 'name': 'Mitch (Hung) Nguyen', 'agent_id': None, 'job_title': 'Director/Auctioneer', 'url': 'https://www.realestate.com.au/agent/mitch-(hung)-nguyen-2712894?cid={cid}', 'phone': '0478776666', 'email': None}]"
137425994,https://www.realestate.com.au/property-unit-vic-drouin-137425994,Drouin,Vic,3818,1/7-9 Princes Way,"1/7-9 Princes Way, Drouin, Vic 3818",unit,429000.0,2.0,1.0,1.0,,,232.0,m²,WWNDMI,One Agency Country to Coast,18001AGENT,,,"- They say it's all about location, location, location<br/>- Positioned in the middle of town opposite the Bowls Club<br/>- Well maintained unit close to everything!<br/>- 2 spacious bedrooms with built-in robes <br/>- Central bathroom with separate toilet<br/>- Modern kitchen with good storage - adjoining meals area<br/>- Large formal living room<br/>- Extensive private garden and courtyard areas<br/>- Gas wall heater and split system cooling<br/>- New floor coverings throughout and recently painted<br/>- Single garage with electric panel lift door<br/>- An opportunity not to be missed, call for an inspection today!<br/>    ","[{'id': '2329554', 'name': 'Dean Macfarlane', 'agent_id': None, 'job_title': 'Sales - Licensed Estate Agent', 'url': 'https://www.realestate.com.au/agent/dean-macfarlane-2329554?cid={cid}', 'phone': '0428897196', 'email': None}]"
137574386,https://www.realestate.com.au/property-house-vic-greenvale-137574386,Greenvale,Vic,3059,679 Somerton Road,"679 Somerton Road, Greenvale, Vic 3059",house,,7.0,5.0,3.0,,,990.0,m²,MZEWYG,Harcourts - Hume,0393337999,,,"Every now and again a rare and special opportunity presents itself enabling you to provide your family the life style that many crave and that only a select few will only have the opportunity to ever own.<br/><br/><br/>Comfort, quality, space and leisure are priorities of this magnificent home sprawled over this easy to maintain, superbly planned and utilised 986m2 (approx.) parcel of land.<br/><br/>Grandeur in its street appearance, this home is offered for sale to those who expect the best and offers everything you could possibly want or need in a family home. As you would expect, its features are numerous but include:-<br/>- On approximately 986M2, the home's peaceful position has a bus stop nearby, Greenvale shopping precinct, Primary School a short stroll away.<br/>- An interior featuring high ceilings and quality flooring throughout.<br/>- A total of three living area's over two levels featuring formal and informal living zones and wood fires.<br/>- Luxurious gourmet kitchen with granite bench tops, resplendent with quality stainless steel appliances, quality cabinetry and large enough for the biggest of gatherings.<br/>- 7 large bedrooms with built in or walk in robes, including three with their own en-suite And two central bathrooms.<br/>- A Huge entertaining area's for all your family and friends to enjoy.<br/>- Surrounding the half circular driveway with two entrances, which can accommodate a large number of vehicles, leading to the triple garage with kitchen<br/>- Part of the package at the rear of the property featuring a kitchen, lounge, bedroom and bathroom which is perfect for entertaining or extra accommodation for family and friends.<br/>- Fully landscaped front and rear yards.<br/>There are so many more features that you will discover upon inspecting this magnificent property that words and pictures cannot do justice. This may be a once in a lifetime opportunity to secure a quality residence in a prime Greenvale location. Book an inspection today!<br/><br/>To view or apply to participate in the bidding at auction see the link below<br/><br/><br/>https://anywhereauctions.com.au/app/property?propertyId=17748","[{'id': '1669414', 'name': 'Michael Abbas', 'agent_id': 'b1e98d34-5aa5-4757-951a-0221ca9c6ae9', 'job_title': 'Senior Sales Executive', 'url': 'https://www.realestate.com.au/agent/michael-abbas-1669414?cid={cid}', 'phone': '0423837107', 'email': None}, {'id': '134166', 'name': 'Aras Sadik', 'agent_id': 'f31b7532-139c-4a31-9cc7-4420e332cc19', 'job_title': 'Officer in effective control', 'url': 'https://www.realestate.com.au/agent/aras-sadik-134166?cid={cid}', 'phone': '0433268929', 'email': None}]"
